text,label
"A AMEAÇA: Lula afirma que Moro não viverá pra vê-lo preso!…----Declaração bombástica de Lula surpreendeu os que ouviram.Pergunta que não cala.– Quem ou o que garante tanto Poder a esse Sujeito?Palavras ameaçadoras cheias de duplo sentido.Perguntado sobre o fantasma da possibilidade de prisão diante da possível decisão de Teori  de devolver seu processo a Moro o “mais honesto” não poupou asneiras.– Não sei nada sobre essa decisão de Teori.– Mas se confirmar lhe preocupa?– Quem tem que se preocupar é Moro. Posso até ser preso mas ele não estará vivo para comemorar. Depois de um certo embaraço uma nova pergunta.– O Senhor considera que Juiz de 1ª Instância não tem Gabarito para julgá-lo?– Nem de 1ª  nem de última. Fui o melhor Presidente da História do Brasil…Eles tem é que me pedir desculpas.“Movimento  Populares pela Democracia contra Golpe” Mortadelas acampados no Estacionamento do Ginásio Nelson Piquet em Brasilia.Segundo Morcego (***) perguntas feitas por repórteres que cercaram Lula quando em visita a manifestantes.Respostas demonstraram total falta de auto censura de Lula. Fala  que vem à mente deixando espaço para que se entenda como Desrespeito à Poderes e ameaças.O mais deprimente é a falta de caráter. Da mesma forma leviana que fala nega sem nenhuma cerimônia.Ofende a lógica e as noções de coerência.Como se dissesse:– Quem estava lá era eu. Comentários saíram de minha boca mas não fui eu quem falou. Foi um amigo.O Brasil já virou piada devido a passividade das Autoridades.Confirmadas as declarações configuram desacato e ameaça. Crimes previstos em Lei.Esse Senhor não tem Foro privilegiado. É ninguém na Hierarquia do Nada PT. O que dizer na estrutura Brasil.Por que goza de privilégios podendo gozar da nossa Cara e na nossa Cara?",FAKE
"Urgente! tentaram matar o deputado Tiririca!----URGENTE*TENTARAM MATAR O ÚNICO POLÍTICO HONESTO DO BRASIL* * ATENÇÃO! A MÍDIA (GLOBO SBT RECORD) QUER MOSTRAR ISSO ENTÃO COMPARTILHE!* Na eleição vergonhosa que votou pela absolvição do presidente Michel Temer a voz de Tiririca nadou contra a corrente e chamou a atenção dos deputados que trocaram suas convicções políticas em troca de R$ 16 bilhões em verbas. Chamado para dar seu voto o deputado Francisco Everardo mais conhecido como Tiririca surpreendeu a Câmara dos Deputados com estas palavras fortes: *“Estou com o povo. Eu sou do povo. Deus é contra injustiça. Eu não posso fechar os meus olhos pra tudo isso*. Meu partido pediu pra votar a favor do Temer mas eu não vou fazer isso. Posso até perder meu mandato. Posso até voltar pro circo. Mas não faço o povo de palhaço. Eu voto contra o Temer. Eu voto a favor do Brasil. Se ele não é culpado que prove sua inocência. Só acho estranho quem se diz inocente gastar bilhões do dinheiro público pra pedir voto aos deputados. Eu devo ser muito burro mesmo. Não entendo a lógica destes políticos. Nem quero entender”. OS CORRÚPTOS DESSE PAÍS NÃO VÃO "MATAR" A VOZ DESSE GUERREIRO POIS ELE É A VOZ DO POVO!",FAKE
"Jovem que tatuou “Dilma” no braço faz vaquinha para tirar as tatuagens----A estudante Patrícia Poeira estaria iniciando uma campanha na Internet para arrecadar dinheiro para apagar a tatuagem. A triste história da estudante de rеntоlоnоlоgіаtіѕtіса que havia tatuado o nome da presidente Dilma Rousseff em seus braços e agora um ano depois teria se arrependido do que fez e estaria fazendo uma vaquinha na web para remover as tatuagens.A moça segundo o que afirma a notícia já não anda pelas ruas com camisas de manga curta para esconder a homenagem feita à política e diz se arrepender muito do que fez por isso a cirurgia para a remoção das tatuagens.",FAKE
"Urgente! MEC manda estados e municípios reduzirem salários de professores! Assista e compartilhe...----DA REDAÇÃO | O desgoverno Temer (PMDB) através do Ministério da Educação está orientando prefeitos e governadores a reduzirem salários de professores da educação básica pública de todo o País. A gravíssima denúncia é do prof. João Correia dirigente do Sinte-Pi um dos maiores sindicatos de trabalhadores em educação do Brasil. O MEC atualmente é dirigido por Mendonça Filho (DEM-PE). (Ver vídeo mais abaixo).De acordo com o líder sindical a redução salarial é para ser feita através da reformulação dos planos de carreira dos educadores. Medida foi tomada agora em novembro e está em consonância com a PEC 55 (PEC da Morte) que prevê congelamento de investimentos em educação por vinte anos. Prefeitos e governadores que não se adequarem a tal orientação serão penalizados através da retenção de repasses federais.",FAKE
"Flagra de Sergio Moro apos julgar Lula comove o Brasil----Ele permaneceu assim por 40 minutos. Muito abatido Sergio Moro foi flagrado por um repórter na sala de audiência ele estava há 40 minutos cabisbaixo e sozinho a cena impressionou o repórter e sua equipe ..Entenda!! No julgamento de Luiz Inácio Lula da Silva presidido pelo juiz federal Sergio Moro a sentença foi de 9 anos e meio de prisão.Apos o termino Moro fez um desabafo a reporteres dizendo que ele como pessoa não tinha nenhuma satisfação de fazer a condenação do Ex- presidente  porém achava vergonhoso para alguém no cargo tão alto que Lula tinha estar envolvido em esquemas de corrupção e lavagem de dinheiro. Ressaltou o juiz que ;mesmo ele sendo ex-presidente não estaria acima da lei e que foi julgado como qualquer outro cidadão brasileiro.Flagrante !! – No final do julgamento Sergio Moro permaneceu sozinho na sala de audiência uma equipe de reportagem resolveu aguardar a saída do juiz porém em virtude de sua demora em sair da sala o repórter resolveu entrar no tribunal e se deparou com uma cena chocante. O Excelentíssimo juiz totalmente esgotado aparece debruçado sobre sua Bíblia em cima da mesa no que parecia ser um momento único onde ele parecia descansar no divino recompondo sua força por meio da fé.",FAKE
"“Mr. Fora Temer”: Até os chineses sabem que ele é----Segundo informações da Telesur empresário chinês teria chamado Michel Temer  de “Mister Fora Temer”. “Welcome Mr. Fora Temer”. O assunto repercutiu especialmente na imprensa internacional.Após uma reunião com centenas de empresários locais o recém-empossado presidente brasileiro se posicionou na saída do evento para saudar alguns ‘peixes graúdos’ e tentar alocar recursos para o Brasil.Um desses empresários acompanhado de um intérprete foi conversar com o nosso presidente.O problema foi que o milionário resolveu dispensar o intérprete e fez uma lambança!Pouco informado sobre o homem que assumiu o lugar de Dilma o empresário chinês soltou uma pérola (em inglês):“Welcome Mr. Fora Temer”É […] parece que a coisa não anda boa para o lado do ex-vice de Dilma!Em tempo: O presidente ilegítimo foi vaiado hoje na abertura do desfile de 7 de Setembro em Brasília na Esplanada dos Ministérios. Manifestantes exigem novas eleições presidenciais. Mesmo com a intransigente segurança que arrancava até adesivos de convidados com as inscrições que incomodam os golpistas: “Fora Temer”.Se até os empresários chineses sabem que ele é porque os adesivos incomodam tanto?",FAKE
"Lula tem uma nova namorada e não é a rose é uma loira novinha 55 anos mais jovem----Na cúpula do PT todos já sabem que o ex-presidente Lula anda se relacionando com uma mulher loira novinha.Aliás os dirigentes petistas mais próximos de Lula são todos cumplices do novo caso do ex-presidente.A mesma cumplicidade que acobertou todos os episódios de favorecimento a Rose Noronha quando dona Marisa ainda era viva.Agora não obstante a viuvez todos acham ainda cedo para que o novo namoro seja revelado.Acreditam que caso Lula consiga ser candidato vai precisar explorar emocionalmente o episódio do falecimento de dona Marisa e assim sendo a revelação de uma namorada pode ofuscar a força da encenação.",FAKE
"35 dos 38 deputados que votaram pelo impeachment são investigados por corrupção----Ao todo 37 deputados federais da Comissão já cometeram atos políticos ilícitos.Aprovado na última segunda-feira (11/04) o relatório a favor do #Impeachment teve ao todo 35 votos de deputados federais envolvidos em #Corrupção. Embora o suposto motivo para o impedimento da presidenta Dilma Rousseff (PT) seja a corrupção a maior parte dos políticos da Comissão de Impeachment já foram denunciados ou condenados por ilicitudes.Da parte dos que votaram contra o pedido protocolado por Eduardo Cunha (PMDB) - denunciado vastamente por corrupção e lobby - somente três deputados estão sendo investigados: Paulo Teixeira (PT) Arlindo Chignaglia (PT) e Leonardo Picciani (PMDB).Entre os deputados corruptos que votaram a favor do relatório pelo impedimento de Dilma estão políticos conhecidos pelos seus atos contra a lei como por exemplo Paulo Maluf (PP) que tem onze pendências entre as quais falsidade ideológica e lavagem de dinheiro e Paulinho da Força (SD) que responde por formação de quadrilha e improbidade administrativa.A lista ainda conta com o pastor Marco Feliciano (PSC) acusado de injúria difamação incitação ao ódio e cujas contas eleitorais foram rejeitadas pelo TSE de São Paulo e Washington Reis do PMDB que tem contra si trinta processos incluindo crime contra o meio-ambiente formação de quadrilha e improbidade administrativa.Jovair Arantes (PTB) relator da Comissão apoiou Eduardo Cunha na eleição para presidente da Câmara e foi denunciado pela Folha de São Paulo nesta terça-feira (12/04) por ter proposto uma lei por mês em favor das empresas e empreiteiras que apoiaram a sua candidatura caracterizando um crime de lobby.Caso o impedimento da presidenta Dilma Roussef seja aprovado por 2/3 da Câmara dos Deputados o processo seguirá para o Senado que terá 180 dias para decidir se aceita o impeachment ou não.Durante esse período a presidenta ficará afastada de seu cargo e o vice-presidente Michel Temer (PMDB) acusado na Lava Jato e em outros processos poderá assumir temporariamente. Caso não se prove crime de responsabilidade mas o processo seja acatado pelo Senado Federal o Supremo Tribunal Federal poderá entrar com ação para que o impedimento seja anulado e Dilma retorne ao cargo. ",FAKE
"ACREDITE: Ministra dos Direitos Humanos Maria do Rosário Cobra Indenização para Famílias dos bandidos mortos em presídio no AM----A Min dos Direitos Humanos Maria do Rosário Cobra Indenização  das famílias dos 56 mortos na rebelião que aconteceu no presídio de Manaus.O Governador do Amazonas José Melo anunciou que as secretarias de Administração Penitenciária (Seap) de Justiça de Direitos Humanos Cidadania e Assistência Social sejam solidárias com as famílias dos criminosos assassinados no massacre da penitenciária de Manaus.A indenização poderá chegar até um milhão de reais.Veja o que o site Noticias.terra.com disse sobre o assunto:As secretarias estão montando um grupo de trabalho para iniciar os procedimentos de assistência. Já a Procuradoria-Geral do Estado (PGE) iniciou os trâmites para indenizar as famílias que tiverem direito conforme estabelece a Constituição Federal e decisões do Supremo Tribunal de Justiça (STJ) e Supremo Tribunal Federal (STF).O que essa criatura merece? Comente e compartilhe o Brasil não pode mais suportar tamanha indecência….",FAKE
"Pastor evangélico é espancado por militantes dos Direitos Humanos----Um pastor foi brutalmente espancado na porta de sua Igreja por fazer campanha política durante os cultos em favor do presidenciável Jair Bolsonaro. Os responsáveis pelo ato selvagem foram identificados como militantes dos Direitos Humanos.A família do pastor Ademar Rodrigues de Souza mais conhecido no meio evangélico como Ademar da Unção está desolada. Na noite do último domingo o pastor foi barbaramente agredido na porta de sua Igreja. A agressão foi tão severa que o pastor até o momento não saiu da UTI e seu quadro é apontado pelos médicos como extremamente grave.O fato motivador da agressão teria sido o conteúdo político de suas pregações. Fiéis comentaram com a FOLHA que Ademar da Unção frequentemente contextualizava os textos bíblicos usando citações do deputado Jair Bolsonaro. Na noite do ocorrido ele havia usado uma referência de Timóteo 2:14 pra falar sobre o governo Dilma:“E Adão não foi enganado mas sim a mulher que tendo sido enganada tornou-se transgressora”.Segundo o pastor a mulher tem maior inclinação para a transgressão que o homem. Em mais de 120 anos de república nenhum presidente roubou tanto quanto a Dilma. Ela é a nossa Eva. A corrupção é a nossa Serpente. As verbas de campanha são o fruto proibido. E Jair Bolsonaro nossa salvação. Ele durante o culto de ontem a noite havia pedido para que os fiéis jamais votassem em qualquer outra mulher para cargo público.O pastor também citou o livro de Provérbios para justificar a presença da mulher no lar e não na vida pública.“Mulher virtuosa se levanta e dá mantimento à sua casa e a tarefa às suas servas. Atende ao bom andamento da sua casa e não come o pão da preguiça”. (Provérbios 31.10-27)A persistência do conteúdo político nos cultos do pastor Ademar já havia sido denunciada oito vezes apenas este ano para a Comissão de Direitos Humanos do município de Iguaba Grande no Rio de Janeiro. Na noite de ontem (13/06/2016) os representantes da CDHIG-RJ foi a sede da Igreja da Unção Sagrada e assistiram ao culto e presenciaram os supostos desrespeitos aos Direitos Humanos na pregação do pastor.Ao final do culto o Pastor Ademar da Unção foi notificado. Já não existiam mais fiéis na Igreja. As câmeras de videomonitoramento mostram uma discussão no momento da entrega do documento. Visivelmente alterado o pastor arremessa sobre os integrantes da Comissão de Direitos Humanos um grande volume do azeite sagrado. Neste momento um dos integrantes da Comissão de Direitos Humanos dá um soco no nariz do pastor. Ademar vai ao chão e é chutado por nove minutos consecutivos por dois outros membros. Ao final da agressão uma representante da Comissão de Direitos Humanos escarra na cara do pastor.Todos foram embora sem prestar socorro. O pastor foi socorrido 4 horas depois pelos familiares que acharam estranha a demora do pastor e foram a Igreja averiguar o que teria ocorrido. Encaminhado para o hospital em quadro definido como extremamente grave ele está até agora entre a vida e a morte e dificilmente sairá desta condição sem sequelas gravíssimas.A polícia trabalha em duas linhas de investigação. Uma seria a versão apresentada pela família de que os agressores fossem de fato os mesmos integrantes da Comissão de Direitos Humanos que notificaram o pastor. A outra linha seria que os agressores seriam criminosos relacionados com a agiotagem uma vez que o pastor Ademar da Unção e suspeito de ser agiota.Que a paz do Senhor abençoe esta família.",FAKE
